id,instance_name,public_ip,private_ip,instance_type,instance_id,region,latency,project,platform,insert_time,role
47,TurnServer_Replace_XiaShaIDC-200919,161.189.44.114,11.0.206.11,t2.micro,i-0d5e00b0c3a11a8e1,China (Ningxia),0,nx_test,,2022-03-14 08:54:19,aws
48,ChfshanGDMS_master_US_web-20201102,52.83.169.1,11.0.206.190,m5.large,i-00ef174765fc11493,China (Ningxia),0,nx_test,,2022-03-14 08:54:19,aws
49,ChfshanGDMS_master_EU_web-20210528,68.79.8.239,11.0.206.68,m5.large,i-0033bbf875eeffae3,China (Ningxia),0,nx_test,,2022-03-14 08:54:19,aws
50,SZPcXu_Master_Default_GDMS,161.189.109.209,11.0.206.228,m5.large,i-0eaaca1264cfab0ca,China (Ningxia),0,nx_test,,2022-03-14 08:54:19,aws
51,SZPcXu_Master_Default_sshserver,52.83.137.81,11.0.206.241,m5.large,i-0c51c9fb60a8f3d4d,China (Ningxia),0,nx_test,,2022-03-14 08:54:19,aws
52,JHZHAO_jhzhao_turn_server_ForOnline,52.34.67.236,172.31.6.109,m3.medium,i-0622e202fb2369cb4,US West (Oregon),0,ipvt_test,,2022-03-14 08:54:19,aws
53,XHHUANG_ip2location,52.10.39.217,11.0.1.6,t2.small,i-07aa613b5855815ea,US West (Oregon),0,ipvt_test,,2022-03-14 08:54:19,aws
54,GDMS-Test_www-test.gdms.cloud,54.71.36.138,11.0.207.101,t2.medium,i-0546c3792b16d85e8,US West (Oregon),0,ipvt_test,,2022-03-14 08:54:19,aws
55,CloudIM_chfshan_Oregon_im-1,44.234.234.3,11.0.207.178,a1.large,i-084825a89ec412ad2,US West (Oregon),0,ipvt_test,,2022-03-14 08:54:19,aws
56,CloudIM_chfshan_Oregon_im-2,54.189.87.15,11.0.207.32,a1.large,i-0a14c0615dedf86c5,US West (Oregon),0,ipvt_test,,2022-03-14 08:54:19,aws
57,CloudIMWli_Oregon_database,35.163.132.252,11.0.207.134,r5.large,i-09a2c394a3e3dadcb,US West (Oregon),0,ipvt_test,,2022-03-14 08:54:19,aws
58,CloudIMWli_Oregon_IM2,52.35.101.160,11.0.207.215,a1.large,i-0e394c8b0480706b7,US West (Oregon),0,ipvt_test,,2022-03-14 08:54:19,aws
59,CloudIMWli_Oregon_IM1,44.242.19.132,11.0.207.19,a1.large,i-088f0d5b245c59352,US West (Oregon),0,ipvt_test,,2022-03-14 08:54:19,aws
60,CloudIMWli2_Oregon_IM1,54.191.37.196,11.0.207.64,a1.large,i-0916c91e21cc46179,US West (Oregon),0,ipvt_test,,2022-03-14 08:54:19,aws
61,CloudIMWli2_Oregon_IM2,54.245.212.129,11.0.207.118,a1.large,i-0c46bd431e5a15e1b,US West (Oregon),0,ipvt_test,,2022-03-14 08:54:19,aws
62,CloudIM_chfshan_Oregon_database_2,35.83.125.226,11.0.207.79,r5.xlarge,i-0b40e85e004d16d4f,US West (Oregon),0,ipvt_test,,2022-03-14 08:54:19,aws
63,Chfshangdms_Master_Oregon_sshbackup,34.216.204.82,11.0.206.54,c5.xlarge,i-0a25581c3db1d3999,US West (Oregon),0,ipvt_test,,2022-03-14 08:54:19,aws
64,chfshangdms_master_Oregon_SSHPROXY-20220107033925,34.216.239.53,11.0.206.22,c5.xlarge,i-0c1e1f6b639055d48,US West (Oregon),0,ipvt_test,,2022-03-14 08:54:19,aws
65,chfshangdms_master_Oregon_SSHPROXY-20220107042545,34.218.233.181,11.0.206.179,c5.xlarge,i-0e83435a853f0599a,US West (Oregon),0,ipvt_test,,2022-03-14 08:54:19,aws
66,HuangXiaoHui_ip2location,13.115.145.139,10.0.0.31,m3.medium,i-03c02de373d2e25b4,Asia Pacific (Tokyo),0,ipvt_test,,2022-03-14 08:54:19,aws
67,CommonService_Proxy-LoadAverage-Scale,13.115.186.176,10.0.0.60,t2.micro,i-0fe6d858333125506,Asia Pacific (Tokyo),0,ipvt_test,,2022-03-14 08:54:19,aws
68,OnlineKeepOn_Production_Manage_Node,52.34.171.101,11.0.206.8,t2.micro,i-04d9b5dd,US West (Oregon),0,ipvt_online,,2022-03-14 08:54:19,aws
69,Online_Slave_Oregon_Asterisk-b-20200805,52.40.148.36,11.0.35.213,c5.2xlarge,i-0b98ca41b969784e5,US West (Oregon),0,ipvt_online,,2022-03-14 08:54:19,aws
70,Online_Slave_WhiteBoard-20200805,54.70.61.68,11.0.180.11,c5.large,i-05e3dbe8cec3ce598,US West (Oregon),0,ipvt_online,,2022-03-14 08:54:20,aws
71,Online_Slave_Oregon_MCU-b-20200805,34.219.195.30,11.0.208.46,g4dn.4xlarge,i-0749640b0d33f6d07,US West (Oregon),0,ipvt_online,,2022-03-14 08:54:20,aws
72,Online_Slave_Task-20210107,44.228.144.64,11.0.180.198,m5.large,i-0299b741045b3cd46,US West (Oregon),0,ipvt_online,,2022-03-14 08:54:20,aws
73,OnlineKeepOn_Master_Default_Zabbix-20210107,52.24.25.35,11.0.206.204,m5.large,i-0cf74de2942a987d6,US West (Oregon),0,ipvt_online,,2022-03-14 08:54:20,aws
74,Online_Slave_Web-a-20210113,18.236.116.20,11.0.180.136,m5.xlarge,i-0142f9ad735b5bf50,US West (Oregon),0,ipvt_online,,2022-03-14 08:54:20,aws
75,Online_Slave_Web-b-20220107,54.201.121.23,11.0.180.31,m5.xlarge,i-0cf9c096f57619f07,US West (Oregon),0,ipvt_online,,2022-03-14 08:54:20,aws
76,Online_Slave_DNS-internal-20220107,18.237.183.150,11.0.206.232,t3.micro,i-08d5a206fd7b5af1b,US West (Oregon),0,ipvt_online,,2022-03-14 08:54:20,aws
